TITOLO,ISSN,Area 08,Area 10,Area 11,Area 12,Area 13,Area 14,08/C1,08/D1,08/E1,08/E2,08/F1,10/A1,10/B1,10/C1,10/D1,10/D2,10/D3,10/D4,10/E1,10/F1,10/F2,10/F3,10/F4,10/G1,10/H1,10/I1,10/L1,10/M1,10/M2,10/N1,10/N3,11/A1,11/A2,11/A3,11/A4,11/A5,11/B1,11/C1,11/C2,11/C3,11/C4,11/C5,11/D1,11/D2,12/A1,12/B1,12/B2,12/C1,12/C2,12/D1,12/D2,12/E1,12/E2,12/E3,12/E4,12/F1,12/G1,12/G2,12/H1,12/H2,12/H3,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4,14/A1,14/A2,14/B1,14/B2,14/C1,14/C2,14/C3,14/D1
ACM TRANSACTIONS ON GRAPHICS,0730-0301,S(2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME,0001-494X,S,S,S,,,S,,,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME,2282-0035,S,S,S,,,S,,,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOUSTICS,2624-599X,S(2018),S(2018),,,,,A(2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOUSTIQUE ET TECHNIQUES,1263-8072,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA ACUSTICA UNITED WITH ACUSTICA,1610-1928,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA AD ARCHAEOLOGIAM ET ARTIUM HISTORIAM PERTINENTIA,2611-3686,S(2018),,S(2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA ARCHITECTURAE NATURALIS,2228-1320,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA HISTORIAE ARTIS SLOVENICA,1408-0419,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
